name,parent_region__name,gibdd_code,ya_name,slug
Советский район,Ставропольский край,7250,Советский городской округ,sovetskii-raion-ly6
Хазбесский район,Карачаево-Черкесская Республика,91203,Хабезский район,khazbesskii-raion
Предгорный район,Ставропольский край,7248,Предгорный муниципальный округ,predgornyi-raion
Хайбуллинский,Республика Башкортостан,80255,Хайбуллинский район,khaibullinskii
Новоторьяльский район,Республика Марий Эл,88236,Новоторъяльский район,novotorialskii-raion
Курчалоевский район,Чеченская Республика,96006,Курчалоевский район,kurchaloevskii-raion
Докузпаринский район,Республика Дагестан,82221,Докузпаринский район,dokuzparinskii-raion
Пестречинский район,Республика Татарстан (Татарстан),92248,Пестречинский район,pestrechinskii-raion
Федоровский,Республика Башкортостан,80254,Фёдоровский район,fedorovskii
Моркинский район,Республика Марий Эл,88232,Моркинский район,morkinskii-raion
Урус-Мартановский район,Чеченская Республика,96011,Урус-Мартановский район,urus-martanovskii-raion
Урупский район,Карачаево-Черкесская Республика,91235,Урупский район,urupskii-raion
Учалинский,Республика Башкортостан,80253,Учалинский район,uchalinskii
Пригородный район,Республика Северная Осетия-Алания,90240,Пригородный район,prigorodnyi-raion
Батыревский район,Чувашская Республика - Чувашия,97207,,batyrevskii-raion
Мари-Турекский район,Республика Марий Эл,88224,Мари-Турекский район,mari-turekskii-raion
Аликовский район,Чувашская Республика - Чувашия,97205,,alikovskii-raion
Новошешминский район,Республика Татарстан (Татарстан),92245,Новошешминский район,novosheshminskii-raion
Рузаевский район,Республика Мордовия,89243,Рузаевский район,ruzaevskii-raion
Красногорский район,Удмуртская Республика,94230,Красногорский район,krasnogorskii-raion
Куженерский район,Республика Марий Эл,88220,Куженерский район,kuzhenerskii-raion
Муслюмовский район,Республика Татарстан (Татарстан),92242,Муслюмовский район,musliumovskii-raion
Лямбирский район,Республика Мордовия,89237,Лямбирский район,liambirskii-raion
Килемарский район,Республика Марий Эл,88216,Килемарский район,kilemarskii-raion
Краснослободский район,Республика Мордовия,89234,Краснослободский район,krasnoslobodskii-raion
Кизнерский район,Удмуртская Республика,94226,Кизнерский район,kiznerskii-raion
Кочкуровский район,Республика Мордовия,89231,Кочкуровский район,kochkurovskii-raion
Кезский район,Удмуртская Республика,94224,Кезский район,kezskii-raion
Камбарский район,Удмуртская Республика,94220,Камбарский район,kambarskii-raion
Вейделевский район,Белгородская область,14225,Вейделевский район,veidelevskii-raion
Валуйский район,Белгородская область,14220,Валуйский городской округ,valuiskii-raion
Белгородский район,Белгородская область,14210,Белгородский район,belgorodskii-raion
Шумерлинский район,Чувашская Республика - Чувашия,97250,,shumerlinskii-raion
Канашский район,Чувашская Республика - Чувашия,97216,,kanashskii-raion
Чукотский район,Чукотский автономный округ,77233,Чукотский район,chukotskii-raion
Ногликский район,Сахалинская область,64232,городской округ Ногликский,noglikskii-raion
Ольский район,Магаданская область,44201,Ольский городской округ,olskii-raion
Карабулак,Республика Ингушетия,26408,Карабулак,karabulak
Бурейский район,Амурская область,10215,Бурейский район,bureiskii-raion
Смидовичский район,Еврейская автономная область,99230,Смидовичский район,smidovichskii-raion
Ягоднинский район,Магаданская область,44222,Ягоднинский городской округ,iagodninskii-raion
Агульский район,Республика Дагестан,82201,Агульский район,agulskii-raion
Назрань,Республика Ингушетия,26406,Назрань,nazran
Магас,Республика Ингушетия,26401,городской округ Магас,magas
Дигорский район,Республика Северная Осетия-Алания,90215,Дигорский район,digorskii-raion
Ардонский район,Республика Северная Осетия-Алания,90210,Ардонский район,ardonskii-raion
Чебоксарский район,Чувашская Республика - Чувашия,97244,,cheboksarskii-raion
Сунженский  район,Республика Ингушетия,26230,Сунженский район,sunzhenskii-raion
Алатырский район,Чувашская Республика - Чувашия,97203,,alatyrskii-raion
Комсомольский район,Хабаровский край,8250,Комсомольский район,komsomolskii-raion-rsv
Октябрьский район,Еврейская автономная область,99225,Октябрьский район,oktiabrskii-raion
Краснодарский край,,3,Краснодарский край,krasnodarskii-krai
Усть-Камчатский район,Камчатский край,30219,Усть-Камчатский район,ust-kamchatskii-raion
Шолоховский район,Ростовская область,60211,Шолоховский район,sholokhovskii-raion
Охинский район,Сахалинская область,64236,городской округ Охинский,okhinskii-raion
Терский район,Кабардино-Балкарская Республика,83225,Терский район,terskii-raion
Тенькинский район,Магаданская область,44216,Тенькинский городской округ,tenkinskii-raion
Чертковский район,Ростовская область,60258,Чертковский район,chertkovskii-raion
Сулейман-Стальский район,Республика Дагестан,82247,Сулейман-Стальский район,suleiman-stalskii-raion
