name,parent_region__name,gibdd_code,ya_name,slug
Зилаирский,Республика Башкортостан,80227,Зилаирский район,zilairskii
Горячий ключ,Краснодарский край,3409,,goriachii-kliuch
Ессентуки,Ставропольский край,7410,Ессентуки,essentuki
Нижний новгород,Нижегородская область,22401,,nizhnii-novgorod
Бузулукский,Оренбургская область,53212,,buzulukskii
Куньинский район,Псковская область,58216,Куньинский район,kuninskii-raion
Джержинск,Нижегородская область,22421,,dzherzhinsk
Лаганский,Республика Калмыкия,85215,Лаганский район,laganskii
Бугурусланский,Оренбургская область,53211,,buguruslanskii
Уржумский район,Кировская область,33241,,urzhumskii-raion
Косинский район,Пермский край,89005,,kosinskii-raion
Сосновоборский район,Пензенская область,56257,,sosnovoborskii-raion
Сергиевский район,Самарская область,36238,,sergievskii-raion
Ртищевский район,Саратовская область,63241,,rtishchevskii-raion
Унинский район,Кировская область,33240,,uninskii-raion
Кочевский район,Пермский край,89004,,kochevskii-raion
Пачелмский район,Пензенская область,56254,,pachelmskii-raion
Ижморский район,Кемеровская область - Кузбасс,32204,,izhmorskii-raion
Романовский район,Саратовская область,63240,,romanovskii-raion
Яйский район,Кемеровская область - Кузбасс,32243,,iaiskii-raion
Павловский район,Ульяновская область,73232,,pavlovskii-raion
Невинномысск,Ставропольский край,7424,Невинномысск,nevinnomyssk
Новоспасский район,Ульяновская область,73229,,novospasskii-raion
Мамадышский район,Республика Татарстан (Татарстан),92238,Мамадышский район,mamadyshskii-raion
Серафимовичский,Волгоградская область,18250,Серафимовичский район,serafimovichskii
Нерчинско-Заводский район,Забайкальский край,76230,,nerchinsko-zavodskii-raion
Светлоярский,Волгоградская область,18249,Светлоярский район,svetloiarskii
Нерчинский район,Забайкальский край,76228,,nerchinskii-raion
Пластовский район,Челябинская область,75248,Пластовский район,plastovskii-raion
Третьсяковский район,Алтайский край,12501,,tretsiakovskii-raion
Верхняя Тура,Свердловская область,6547051,Верхняя Тура,verkhniaia-tura
Топчихинский район,Алтайский край,12491,,topchikhinskii-raion
Целинный район,Курганская область,37234,Целинный район,tselinnyi-raion-tgs
Шимский район,Новгородская область,49255,Шимский район,shimskii-raion
Казанский район,Тюменская область,712301,Казанский район,kazanskii-raion
Октябртский район,Челябинская область,75247,Октябрьский район,oktiabrtskii-raion
Верхний Тагил,Свердловская область,6545351,Верхний Тагил,verkhnii-tagil
Республика Адыгея (Адыгея),,79,,respublika-adygeia-adygeia
Губкинский,Ямало-Ненецкий автономный округ,71172,Губкинский,gubkinskii
Майкопский,Республика Адыгея (Адыгея),79222,,maikopskii
Кош-Агачский район,Республика Алтай,84210,Кош-Агачский район,kosh-agachskii-raion
Ненецкий автономный округ,,10011,,nenetskii-avtonomnyi-okrug
Когалым,Ханты-Мансийский автономный округ - Югра,71183,Когалым,kogalym
Ненецкий АО,Ненецкий автономный округ,11100,,nenetskii-ao
Новый Уренгой,Ямало-Ненецкий автономный округ,71176,Новый Уренгой,novyi-urengoi
Горно-Алтайск,Республика Алтай,84401,Горно-Алтайск,gorno-altaisk
Лангепас,Ханты-Мансийский автономный округ - Югра,71132,Лангепас,langepas
Пограничный район,Приморский край,5232,Пограничный район,pogranichnyi-raion
Мясниковский район,Ростовская область,60235,Мясниковский район,miasnikovskii-raion
Южно-Сахалинск,Сахалинская область,64401,Южно-Сахалинск,iuzhno-sakhalinsk
Партизанский район,Приморский край,5230,Партизанский район,partizanskii-raion
Морозовский район,Ростовская область,60234,Морозовский район,morozovskii-raion
Заиграевский район,Республика Бурятия,81218,Заиграевский район,zaigraevskii-raion
Комсомольск-на-Амуре,Хабаровский край,8409,Комсомольск-на-Амуре,komsomolsk-na-amure
7 - Завитинский район,Амурская область,10221,Завитинский район,7-zavitinskii-raion
Хабаровск,Хабаровский край,8401,Хабаровск,khabarovsk
Судак,Республика Крым,8123,,sudak
Симферополь,Республика Крым,8122,,simferopol
Черногорск,Республика Хакасия,95415,,chernogorsk
Сорск,Республика Хакасия,95409,,sorsk
Пий-Хемский кожуун,Республика Тыва,93235,,pii-khemskii-kozhuun
Овюрский кожуун,Республика Тыва,93230,,oviurskii-kozhuun
Нукутский район,Иркутская область,25132,,nukutskii-raion
Нижнеилимский район,Иркутская область,25226,,nizhneilimskii-raion
Новоорский,Оренбургская область,53230,,novoorskii
Зианчуринский,Республика Башкортостан,80226,Зианчуринский район,zianchurinskii
Шатковский район,Нижегородская область,22257,,shatkovskii-raion
Унцукульский район,Республика Дагестан,82253,Унцукульский район,untsukulskii-raion
Оренбургский,Оренбургская область,53234,,orenburgskii
Тасеевский район,Красноярский край,4252,,taseevskii-raion
Тужинский район,Кировская область,33238,,tuzhinskii-raion
Северо-Енисейский район,Красноярский край,4249,,severo-eniseiskii-raion
Гайнский район,Пермский край,89003,,gainskii-raion
Ермекеевский,Республика Башкортостан,80225,Ермекеевский район,ermekeevskii
Никольский район,Пензенская область,56253,,nikolskii-raion
Черноземельский,Республика Калмыкия,85242,Черноземельский район,chernozemelskii
Похвистневский район,Самарская область,36234,,pokhvistnevskii-raion
Куйбышевский район,Новосибирская область,50230,,kuibyshevskii-raion
Ровенский район,Саратовская область,63239,,rovenskii-raion-pfg
Красноозерский район,Новосибирская область,50227,,krasnoozerskii-raion
Сунский район,Кировская область,33237,,sunskii-raion
Железноводск,Ставропольский край,7412,Железноводск,zheleznovodsk
Чайковский район,Пермский край,86043,,chaikovskii-raion
Нижнеломовский район,Пензенская область,56251,,nizhnelomovskii-raion
Пестравский район,Самарская область,36232,,pestravskii-raion
Питерский район,Саратовская область,63236,,piterskii-raion
Руднянский,Волгоградская область,18247,Руднянский район,rudnianskii
Елабужский район,Республика Татарстан (Татарстан),92226,,elabuzhskii-raion
Чудовский район,Новгородская область,49250,Чудовский район,chudovskii-raion
Нагайбакский район,Челябинская область,75242,Нагайбакский район,nagaibakskii-raion
Исетский район,Тюменская область,712241,Исетский район,isetskii-raion
Нязепетровский район,Челябинская область,75244,Нязепетровский район,niazepetrovskii-raion
Среднеуральск,Свердловская область,6542051,Среднеуральск,sredneuralsk
Пятигорск,Ставропольский край,7427,,piatigorsk
Холмский район,Новгородская область,49247,Холмский район,kholmskii-raion-jai
Яшкинский район,Кемеровская область - Кузбасс,32246,,iashkinskii-raion
Аллаиховский район,Республика Саха (Якутия),98206,муниципальный район Аллаиховский улус,allaikhovskii-raion
Юргинский район,Кемеровская область - Кузбасс,32240,,iurginskii-raion-gup
Лесной,Свердловская область,655421,Лесной,lesnoi
Александровский,Томская область,69204,Александровский район,aleksandrovskii
Исилькульский район,Омская область,52215,Исилькульский район,isilkulskii-raion
Могочинский район,Забайкальский край,76226,,mogochinskii-raion
Стрежевой,Томская область,80417,Стрежевой,strezhevoi
Могойтуйский район,Забайкальский край,76128,,mogoituiskii-raion
Любинский район,Омская область,52229,Любинский район,liubinskii-raion
Тогульский район,Алтайский край,12481,,togulskii-raion
Ольгинский район,Приморский край,5228,Ольгинский район,olginskii-raion
Тальменский район,Алтайский край,12471,,talmenskii-raion
Милютинский район,Ростовская область,60233,Милютинский район,miliutinskii-raion
Еравнинский район,Республика Бурятия,81215,Еравнинский район,eravninskii-raion
Миллеровский район,Ростовская область,60232,Миллеровский район,millerovskii-raion
Джидинский район,Республика Бурятия,81212,Джидинский район,dzhidinskii-raion
Ики-Бурульский,Республика Калмыкия,85210,,iki-burulskii
Архаринский район,Амурская область,10200,Архаринский район,arkharinskii-raion
Гиагинский,Республика Адыгея (Адыгея),79205,,giaginskii
пгт. Углегорск,Амурская область,10570,Циолковский,pgt-uglegorsk
Шовгеновский,Республика Адыгея (Адыгея),79240,,shovgenovskii
Мурманская область,,47,,murmanskaia-oblast
Терский район,Мурманская область,47220,,terskii-raion-yae
Санкт-Петербург,,40,,sankt-peterburg
Центральный район,Санкт-Петербург,40298,,tsentralnyi-raion
Новосокольнический район,Псковская область,58226,,novosokolnicheskii-raion
Приволжский район,Астраханская область,12242,,privolzhskii-raion-ebf
Наримановский район,Астраханская область,12240,,narimanovskii-raion
Геленджик,Краснодарский край,3408,,gelendzhik
Новороссийск,Краснодарский край,3420,,novorossiisk
Керчь,Республика Крым,8119,,kerch
Евпатория,Республика Крым,8118,,evpatoriia
Новомалыклинский район,Ульяновская область,73227,,novomalyklinskii-raion
Николаевский район,Ульяновская область,73225,,nikolaevskii-raion-ivw
Монгун-Тайгинский кожуун,Республика Тыва,93225,,mongun-taiginskii-kozhuun
Каа-Хемский кожуун,Республика Тыва,93220,,kaa-khemskii-kozhuun
Ясненский,Оренбургская область,53259,,iasnenskii
Киришский район,Ленинградская область,41224,Киришский район,kirishskii-raion
Чкаловский район,Нижегородская область,22255,,chkalovskii-raion
Шарлыкский,Оренбургская область,53256,,sharlykskii
Палласовский,Волгоградская область,18245,Палласовский район,pallasovskii
Балтийск,Калининградская область,27405,Балтийск,baltiisk
Ольховский,Волгоградская область,18243,Ольховский район,olkhovskii
Мамско-Чуйский район,Иркутская область,25224,,mamsko-chuiskii-raion
Воркута,Республика Коми,87410,Воркута,vorkuta
Куйтунский район,Иркутская область,25222,,kuitunskii-raion
Тосненский район,Ленинградская область,41248,Тосненский район,tosnenskii-raion
Вологодская область,,19,Вологодская область,vologodskaia-oblast
Половинский район,Курганская область,37228,Половинский район,polovinskii-raion
Гумбетовский район,Республика Дагестан,82215,Гумбетовский район,gumbetovskii-raion
Дюртюлинский,Республика Башкортостан,80224,Дюртюлинский район,diurtiulinskii
Саянский район,Красноярский край,4248,,saianskii-raion
Костомукшка,Республика Карелия,86406,Костомукша,kostomukshka
Пировский район,Красноярский край,4245,,pirovskii-raion
Викуловский район,Тюменская область,712151,Викуловский район,vikulovskii-raion
Кусинский район,Челябинская область,75238,Кусинский район,kusinskii-raion
Салехард,Ямало-Ненецкий автономный округ,71171,Салехард,salekhard
Кочковский район,Новосибирская область,50225,,kochkovskii-raion
Петуховский район,Курганская область,37226,Петуховский район,petukhovskii-raion
Коченевский район,Новосибирская область,50223,,kochenevskii-raion
Мегион,Ханты-Мансийский автономный округ - Югра,71133,Мегион,megion
Северск,Томская область,80419,Северск,seversk
Старорусский район,Новгородская область,49239,Старорусский район,starorusskii-raion
Кунашакский район,Челябинская область,75236,Кунашакский район,kunashakskii-raion
Лабытнанги,Ямало-Ненецкий автономный округ,71173,Лабытнанги,labytnangi
Агрызский район,Республика Татарстан (Татарстан),92201,,agryzskii-raion
Ревда,Свердловская область,654841,Ревда,revda
Мензелинский район,Республика Татарстан (Татарстан),92240,,menzelinskii-raion
Нижневартовск,Ханты-Мансийский автономный округ - Югра,71135,Нижневартовск,nizhnevartovsk
Кедровый,Томская область,80418,город Кедровый,kedrovyi
Дуванский,Республика Башкортостан,80223,,duvanskii
Надеждинский район,Приморский край,5223,Надеждинский район,nadezhdinskii-raion
Полтавский район,Омская область,52248,Полтавский район,poltavskii-raion
Казбековский район,Республика Дагестан,82222,,kazbekovskii-raion
Матвеево-Курганский район,Ростовская область,60231,Матвеево-Курганский район,matveevo-kurganskii-raion
Новокузнецкий район,Кемеровская область - Кузбасс,32219,,novokuznetskii-raion
Михайловский район,Приморский край,5220,Михайловский район,mikhailovskii-raion-j3n
Тайга,Кемеровская область - Кузбасс,32440,,taiga
Благовещенск,Амурская область,10401,Благовещенск,blagoveshchensk
Кыринский район,Забайкальский край,76224,,kyrinskii-raion
Красночикойский район,Забайкальский край,76222,,krasnochikoiskii-raion
Табунский район,Алтайский край,12461,,tabunskii-raion
Шелаболихинский район,Алтайский край,12451,,shelabolikhinskii-raion
Архангельская область,,11,,arkhangelskaia-oblast
Онежский район,Архангельская область,11246,,onezhskii-raion
Сарпинский,Республика Калмыкия,85232,,sarpinskii
Малодербетовский,Республика Калмыкия,85220,,maloderbetovskii
Кошехабльский,Республика Адыгея (Адыгея),79215,,koshekhablskii
Красногвардейский,Республика Адыгея (Адыгея),79218,,krasnogvardeiskii
Полярнозорский,Мурманская область,47419,,poliarnozorskii
Апатитский,Мурманская область,47405,,apatitskii
Фрунзенский район,Санкт-Петербург,40296,,frunzenskii-raion
Пушкинский район,Санкт-Петербург,40294,,pushkinskii-raion
Пустошкинский район,Псковская область,58250,,pustoshkinskii-raion
Невельский район,Псковская область,58220,,nevelskii-raion-xew
Советский район,Кировская область,33236,,sovetskii-raion-yk9
Свечинский район,Кировская область,33234,,svechinskii-raion
Кизеловский район,Пермский край,86031,,kizelovskii-raion
Добрянский район,Пермский край,86028,,dobrianskii-raion
Лиманский район,Астраханская область,12235,,limanskii-raion
Красноярский район,Астраханская область,12230,,krasnoiarskii-raion
Краснодар,Краснодарский край,3401,,krasnodar
Отрадненский район,Краснодарский край,3237,,otradnenskii-raion
Армянск,Республика Крым,8116,,armiansk
Алушта,Республика Крым,8115,,alushta
Петровский район,Саратовская область,63235,,petrovskii-raion-ewk
Перелюбский район,Саратовская область,63234,,pereliubskii-raion
Новоникольевский,Волгоградская область,18240,Новониколаевский район,novonikolevskii
Майнский район,Ульяновская область,73220,,mainskii-raion
Вуктыльский район,Республика Коми,87412,городской округ Вуктыл,vuktylskii-raion
Кузоватовский район,Ульяновская область,73216,,kuzovatovskii-raion
Нефтегорский район,Самарская область,36230,,neftegorskii-raion
Куйбышевский район,Ростовская область,60227,Куйбышевский район,kuibyshevskii-raion-wdf
Красноярский район,Самарская область,36228,,krasnoiarskii-raion-lpe
Переславль-Зелесский,Ярославская область,78405,Переславль-Залесский,pereslavl-zelesskii
Неверкинский район,Пензенская область,56249,,neverkinskii-raion
Наровчатский район,Пензенская область,56247,,narovchatskii-raion
Сланцевский район,Ленинградская область,41242,Сланцевский район,slantsevskii-raion
Дзун-Хемчикский кожуун,Республика Тыва,93215,,dzun-khemchikskii-kozhuun
Суоярвский район,Республика Карелия,86250,Суоярвский район,suoiarvskii-raion
Бай-Тайгинский кожуун,Республика Тыва,93205,,bai-taiginskii-kozhuun
Калевальский район,Республика Карелия,86209,Калевальский район,kalevalskii-raion
Вологодский район,Вологодская область,31922,Вологодский район,vologodskii-raion
Солецкий район,Новгородская область,49238,Солецкий район,soletskii-raion
Тульская область,,70,Тульская область,tulskaia-oblast
Приозерский район,Ленинградская область,41239,Приозерский район,priozerskii-raion
Константиновский район,Ростовская область,60225,Константиновский район,konstantinovskii-raion-fdp
Бичурский район,Республика Бурятия,81209,Бичурский район,bichurskii-raion
Шекснинский район,Вологодская область,19258,Шекснинский район,sheksninskii-raion
Поддорский район,Новгородская область,49234,Поддорский район,poddorskii-raion
Светлогорск,Калининградская область,27420,Светлогорск,svetlogorsk
Покачи,Ханты-Мансийский автономный округ - Югра,71184,Покачи,pokachi
Усть-Янский район,Республика Саха (Якутия),98256,Усть-Янский улус,ust-ianskii-raion
Киренский район,Иркутская область,25220,,kirenskii-raion
Лазовский район,Приморский край,5217,Лазовский район,lazovskii-raion
Качугский район,Иркутская область,25218,,kachugskii-raion
Коркиский район,Челябинская область,75233,Коркинский район,korkiskii-raion
Советск,Калининградская область,27430,Советск,sovetsk
Радужный,Ханты-Мансийский автономный округ - Югра,71137,Радужный,raduzhnyi
Партизанский район,Красноярский край,4243,,partizanskii-raion-uih
Томск,Томская область,80420,Томск,tomsk
Новосёловский район,Красноярский край,4241,,novosiolovskii-raion
Омск,Омская область,52401,Омск,omsk
Калачинский район,Омская область,52218,Калачинский район,kalachinskii-raion
Колыванский район,Новосибирская область,50221,,kolyvanskii-raion
Каргатский район,Новосибирская область,50219,,kargatskii-raion
Актанышский район,Республика Татарстан (Татарстан),92205,,aktanyshskii-raion
Рыбно-Слободский район,Республика Татарстан (Татарстан),92250,,rybno-slobodskii-raion
Давлекановский,Республика Башкортостан,80222,,davlekanovskii
Гафурийский,Республика Башкортостан,80221,,gafuriiskii
Кайтагский район,Республика Дагестан,82223,,kaitagskii-raion
Новолакский район,Республика Дагестан,82239,,novolakskii-raion
Киселевск,Кемеровская область - Кузбасс,32416,,kiselevsk
Белово,Кемеровская область - Кузбасс,32407,,belovo
Карымский район,Забайкальский край,76220,,karymskii-raion
Калганский район,Забайкальский край,76218,,kalganskii-raion
Солтонский район,Алтайский край,12441,,soltonskii-raion
Солонешенский район,Алтайский край,12431,,soloneshenskii-raion
Тюльганский,Оренбургская область,53253,,tiulganskii
Мезенский район,Архангельская область,11242,,mezenskii-raion
Каргопольский район,Архангельская область,11218,,kargopolskii-raion
Октябрьский,Республика Калмыкия,85223,,oktiabrskii
Юстинский,Республика Калмыкия,85246,,iustinskii
Тахтамукайский,Республика Адыгея (Адыгея),79230,,takhtamukaiskii
Теучежский,Республика Адыгея (Адыгея),79233,,teuchezhskii
Кировский,Мурманская область,47412,,kirovskii
Оленегорский,Мурманская область,47417,,olenegorskii
Петродворцовый район,Санкт-Петербург,40290,,petrodvortsovyi-raion
Петроградский район,Санкт-Петербург,40288,,petrogradskii-raion
Себежский район,Псковская область,58254,,sebezhskii-raion
Опочецкий район,Псковская область,58229,,opochetskii-raion
Уренский район,Нижегородская область,22254,,urenskii-raion
Тоншаевский район,Нижегородская область,22253,,tonshaevskii-raion
Санчурский район,Кировская область,33233,,sanchurskii-raion
Подосиновский район,Кировская область,33232,,podosinovskii-raion
Губахинский район,Пермский край,86025,,gubakhinskii-raion
Гремячинский район,Пермский край,86022,,gremiachinskii-raion
Уметский район,Тамбовская область,68246,Умётский район,umetskii-raion
Камызякский район,Астраханская область,12225,,kamyziakskii-raion
Инта,Республика Коми,87415,Инта,inta
Икрянский район,Астраханская область,12220,,ikrianskii-raion
Ярославль,Ярославская область,78401,Ярославль,iaroslavl
Лабинский район,Краснодарский край,3230,,labinskii-raion
Усинск,Республика Коми,87423,Усинск,usinsk
Мостовской район,Краснодарский край,3233,,mostovskoi-raion
Макроусовский район,Курганская область,37224,Мокроусовский район,makrousovskii-raion
Черноморский,Республика Крым,8114,,chernomorskii
Советский,Республика Крым,8113,,sovetskii
Щелковский,Московская область,46259,городской округ Щёлково,shchelkovskii
Тарбагатайский район,Республика Бурятия,81250,Тарбагатайский район,tarbagataiskii-raion
Ясногорский район,Тульская область,70250,Ясногорский район,iasnogorskii-raion
Баргузинский район,Республика Бурятия,81203,Баргузинский район,barguzinskii-raion
Полевской,Свердловская область,654821,Полевской,polevskoi
Горьковский район,Омская область,52209,Горьковский район,gorkovskii-raion
Мишкинский район,Курганская область,37222,Мишкинский район,mishkinskii-raion
Кавалеровский район,Приморский край,5210,Кавалеровский район,kavalerovskii-raion
Пряжинский район,Республика Карелия,86239,Пряжинский район,priazhinskii-raion
Кировский район,Приморский край,5212,Кировский район,kirovskii-raion-8yj
Пудожский район,Республика Карелия,86242,Пудожский район,pudozhskii-raion
Чагодощенский район,Вологодская область,19254,Чагодощенский район,chagodoshchenskii-raion
Первоуральск,Свердловская область,654801,Первоуральск,pervouralsk
Озинский район,Саратовская область,63232,,ozinskii-raion
Нефтеюганск,Ханты-Мансийский автономный округ - Югра,71134,Нефтеюганск,nefteiugansk
Новоузенский район,Саратовская область,63230,,novouzenskii-raion
Сургут,Ханты-Мансийский автономный округ - Югра,71136,Сургут,surgut
Карсунский район,Ульяновская область,73214,,karsunskii-raion
Кагальницкий район,Ростовская область,60222,Кагальницкий район,kagalnitskii-raion
Инзенский район,Ульяновская область,73210,,inzenskii-raion
Верхнеколымский район,Республика Саха (Якутия),98215,муниципальный район Верхнеколымский улус,verkhnekolymskii-raion
Красноармейский район,Самарская область,36226,,krasnoarmeiskii-raion-lwv
Светлый,Калининградская область,27425,город Светлый,svetlyi
Кошкинский район,Самарская область,36224,,koshkinskii-raion
Мокшанский район,Пензенская область,56245,,mokshanskii-raion
Мало-сердобинский район,Пензенская область,56244,,malo-serdobinskii-raion
Барун-Хемчикский кожуун,Республика Тыва,93210,,barun-khemchikskii-kozhuun
Ак-Довурак,Республика Тыва,93403,,ak-dovurak
Катангский район,Иркутская область,25216,,katangskii-raion
Казачинско-Ленский район,Иркутская область,25214,,kazachinsko-lenskii-raion
Нижнеингашский район,Красноярский край,4239,,nizhneingashskii-raion
Назаровский район,Красноярский край,4237,,nazarovskii-raion
Карасукский район,Новосибирская область,50217,,karasukskii-raion
Здвинский район,Новосибирская область,50213,,zdvinskii-raion
Камско-Устьинский район,Республика Татарстан (Татарстан),92230,,kamsko-ustinskii-raion
Верхнеуслонский район,Республика Татарстан (Татарстан),92220,,verkhneuslonskii-raion
Бурзянский,Республика Башкортостан,80219,,burzianskii
Бураевский,Республика Башкортостан,80218,,buraevskii
Сергокалинский район,Республика Дагестан,82244,,sergokalinskii-raion
Ногайский район,Республика Дагестан,82240,,nogaiskii-raion-rzb
Междуреченск,Кемеровская область - Кузбасс,32425,,mezhdurechensk
Новокузнецк,Кемеровская область - Кузбасс,32431,,novokuznetsk
Каларский район,Забайкальский край,76215,,kalarskii-raion
Забайкальский район,Забайкальский край,76212,,zabaikalskii-raion
Советский район,Алтайский край,12421,,sovetskii-raion-x4r
Суетский район,Алтайский край,12411,,suetskii-raion
Тоцкий,Оренбургская область,53252,,totskii
Ташлинский,Оренбургская область,53251,,tashlinskii
Пионерский,Калининградская область,27417,,pionerskii
Смоленская область,,66,,smolenskaia-oblast
Рославльский район,Смоленская область,66236,,roslavlskii-raion
Рязанская область,,61,,riazanskaia-oblast
Рязанский район,Рязанская область,61234,,riazanskii-raion
Орловская область,,54,,orlovskaia-oblast
Должанский район,Орловская область,54215,,dolzhanskii-raion
Харовский район,Вологодская область,19252,,kharovskii-raion
Коношский район,Архангельская область,11222,,konoshskii-raion
Вельский район,Архангельская область,11205,,velskii-raion
Кетченеровский,Республика Калмыкия,85225,,ketchenerovskii
Яшкульский,Республика Калмыкия,85254,,iashkulskii
Пыть-Ях,Ханты-Мансийский автономный округ - Югра,71185,Пыть-Ях,pyt-iakh
Николаевский,Волгоградская область,18236,Николаевский район,nikolaevskii
Урай,Ханты-Мансийский автономный округ - Югра,71138,Урай,urai
Уваровский район,Тамбовская область,68244,Уваровский район,uvarovskii-raion
Адыгейск,Республика Адыгея (Адыгея),79403,,adygeisk
Западнодвинский район,Тверская область,28216,Западнодвинский муниципальный округ,zapadnodvinskii-raion
Майкоп,Республика Адыгея (Адыгея),79401,,maikop
Подпорожский район,Ленинградская область,41236,Подпорожский район,podporozhskii-raion
Мончегорский,Мурманская область,47415,,monchegorskii
Лужский район,Ленинградская область,41233,Лужский район,luzhskii-raion
Ковдорский район,Мурманская область,47203,,kovdorskii-raion
Макушинский район,Курганская область,37220,Макушинский район,makushinskii-raion
Невский район,Санкт-Петербург,40285,,nevskii-raion
Армизонский район,Тюменская область,712051,Армизонский район,armizonskii-raion
Московский район,Санкт-Петербург,40284,,moskovskii-raion
Кизильский район,Челябинская область,75232,Кизильский район,kizilskii-raion
Оймяконский район,Республика Саха (Якутия),98239,Оймяконский улус,oimiakonskii-raion
Нижняя Тура,Свердловская область,654781,Нижняя Тура,nizhniaia-tura
Иволгинсий район,Республика Бурятия,81222,Иволгинский район,ivolginsii-raion
Парфинский район,Новгородская область,49230,Парфинский район,parfinskii-raion
Красногородский район,Псковская область,58214,,krasnogorodskii-raion
Абатский район,Тюменская область,712031,Абатский район,abatskii-raion
Пыталовский район,Псковская область,58253,,pytalovskii-raion
Карталинский район,Челябинская область,75223,Карталинский район,kartalinskii-raion
Марьяновский район,Омская область,52230,Марьяновский район,marianovskii-raion
Красноуфимск,Свердловская область,654681,Красноуфимск,krasnoufimsk
Северобайкальский район,Республика Бурятия,81245,Северо-Байкальский район,severobaikalskii-raion
Зимовниковский район,Ростовская область,60219,Зимовниковский район,zimovnikovskii-raion
Тонкинский район,Нижегородская область,22252,,tonkinskii-raion
Анучинский район,Приморский край,5202,Анучинский район,anuchinskii-raion
Спасский район,Нижегородская область,22251,,spasskii-raion-fhn
Зерноградский район,Ростовская область,60218,Зерноградский район,zernogradskii-raion
Пижанский район,Кировская область,33231,,pizhanskii-raion
Орловский район,Кировская область,33245,,orlovskii-raion-kby
Александровский район,Пермский край,86016,,aleksandrovskii-raion-vxl
Чусовской район,Пермский край,86013,,chusovskoi-raion
Енотовский район,Астраханская область,12215,,enotovskii-raion
Володарский район,Астраханская область,12210,,volodarskii-raion
Туапсинский район,Краснодарский край,3255,,tuapsinskii-raion
Успенский район,Краснодарский край,3256,,uspenskii-raion
Симферопольский,Республика Крым,8112,,simferopolskii
Сакский,Республика Крым,8111,,sakskii
Новобурасский район,Саратовская область,63229,,novoburasskii-raion
Марксовский район,Саратовская область,63226,,marksovskii-raion
Вешкаймский район,Ульяновская область,73207,,veshkaimskii-raion
Базарносызганский  район,Ульяновская область,73202,,bazarnosyzganskii-raion
Клявлинский район,Самарская область,36222,,kliavlinskii-raion
Кинельский район,Самарская область,36218,,kinelskii-raion
Лунийский район,Пензенская область,56243,,luniiskii-raion
Лопатинский район,Пензенская область,56242,,lopatinskii-raion
Заларинский район,Иркутская область,25208,,zalarinskii-raion
Жигаловский район,Иркутская область,25206,,zhigalovskii-raion
Мотыгинский район,Красноярский край,4235,,motyginskii-raion
Манский район,Красноярский край,4231,,manskii-raion
Доволенский район,Новосибирская область,50210,,dovolenskii-raion
Венгеровский район,Новосибирская область,50208,,vengerovskii-raion
Казань,Республика Татарстан (Татарстан),92401,,kazan
Лаишевский район,Республика Татарстан (Татарстан),92234,,laishevskii-raion
Буздякский,Республика Башкортостан,80217,,buzdiakskii
Благовещенский,Республика Башкортостан,80215,,blagoveshchenskii
Кизлярский район,Республика Дагестан,82227,,kizliarskii-raion
Хасавюртовский район,Республика Дагестан,82254,,khasaviurtovskii-raion
Березовский,Кемеровская область - Кузбасс,32410,,berezovskii
Анжеро-Судженс,Кемеровская область - Кузбасс,32404,,anzhero-sudzhens
Дульдургинский район,Забайкальский край,76211,,duldurginskii-raion
Газимуро-Заводский район,Забайкальский край,76210,,gazimuro-zavodskii-raion
Славгородский район,Алтайский край,1239,,slavgorodskii-raion
Романовский район,Алтайский край,12371,,romanovskii-raion-wgp
Соль-Илецкий,Оренбургская область,53244,,sol-iletskii
Северный,Оренбургская область,53243,,severnyi
Калининград,Калининградская область,27401,,kaliningrad
Черняховский район,Калининградская область,27239,,cherniakhovskii-raion
Ленинский,Волгоградская область,18230,Ленинский район,leninskii-jte
Смоленский район,Смоленская область,66244,,smolenskii-raion
Усманский район,Липецкая область,2553840,Усманский район,usmanskii-raion
Духовщинский район,Смоленская область,66216,,dukhovshchinskii-raion
Шиловский район,Рязанская область,61258,,shilovskii-raion
Южное Тушино,Москва,45283593,Москва,iuzhnoe-tushino
Шацкий район,Рязанская область,61256,,shatskii-raion
Наро-Фоминский,Московская область,46238,Наро-Фоминский городской округ,naro-fominskii
Ливенский район,Орловская область,54229,,livenskii-raion
Ленинский,Московская область,46228,Ленинский городской округ,leninskii
Колпнянский район,Орловская область,54223,,kolpnianskii-raion
Жарковский район,Тверская область,28214,Жарковский район,zharkovskii-raion
Мошенской район,Новгородская область,49224,Мошенской район,moshenskoi-raion
Брейтовский район,Ярославская область,78209,Брейтовский район,breitovskii-raion
Муезёрский район,Республика Карелия,86227,Муезерский район,mueziorskii-raion
Ухта,Республика Коми,87425,Ухта,ukhta
Устюженский район,Вологодская область,19250,,ustiuzhenskii-raion
Олонецкий район,Республика Карелия,86230,Олонецкий район,olonetskii-raion
Усть-Кубинский район,Вологодская область,19248,,ust-kubinskii-raion
Мышкинский район,Ярославская область,78221,Мышкинский район,myshkinskii-raion
Ялуторовский район,Тюменская область,712563,Ялуторовский район,ialutorovskii-raion
Людейнопольский район,Ленинградская область,41227,Лодейнопольский район,liudeinopolskii-raion
