scheme
""
780
850
730
750
980
760
060
740
800
050
840
880
040
860
440
100
220
320
720
430
140
830
300
420
190
110
600
130
310
410
950
090
020
870
010
200
630
710
820
900
620
930
940
030
770
810
400
500
070
230
700
960
610
970
120
910
920
330
210
